epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4227,0,36.3781,0,0,0,0,0,0,414.261,0,0.00031673,0.00031673,0.00031673
2,182.255,0,14.7957,0,0,0,0,0,0,360.241,0,0.000628676,0.000628676,0.000628676
3,266.848,0,12.6906,0,0,0,0,0,0,11.7808,0,0.000918617,0.000918617,0.000918617
4,355.336,0,9.36013,0,0,0,0,0,0,10.122,0,0.00118655,0.00118655,0.00118655
5,453.104,0,5.05393,0,0,0,0,0,0,6.53083,0,0.00143249,0.00143249,0.00143249
6,553.833,0,2.94609,0,0,0,0,0,0,4.39649,0,0.00139195,0.00139195,0.00139195
7,673.165,0,1.89627,0,0,0,0,0,0,2.7171,0,0.00133693,0.00133693,0.00133693
8,760.251,0,1.27897,0,0,0,0,0,0,2.3003,0,0.00128192,0.00128192,0.00128192
9,845.136,0,0.86721,0,0,0,0,0,0,1380.58,0,0.00122691,0.00122691,0.00122691
10,929.893,0,0.59886,0,0,0,0,0,0,5.34171,0,0.0011719,0.0011719,0.0011719
11,1013.61,0,0.42109,0,0,0,0,0,0,0.50148,0,0.00111689,0.00111689,0.00111689
12,1097.65,0,0.31657,0,0,0,0,0,0,0.42821,0,0.00106188,0.00106188,0.00106188
13,1184.53,0,0.23282,0,0,0,0,0,0,3.52489,0,0.00100687,0.00100687,0.00100687
14,1268.92,0,0.17371,0,0,0,0,0,0,17785.6,0,0.000951857,0.000951857,0.000951857
15,1351.95,0,0.13227,0,0,0,0,0,0,8784.49,0,0.000896846,0.000896846,0.000896846
16,1479.05,0,0.10361,0,0,0,0,0,0,357.558,0,0.000841835,0.000841835,0.000841835
17,1723.82,0,0.08158,0,0,0,0,0,0,0.14893,0,0.000786824,0.000786824,0.000786824
18,1808.43,0,0.06056,0,0,0,0,0,0,0.13243,0,0.000731813,0.000731813,0.000731813
19,1891.22,0,0.04565,0,0,0,0,0,0,0.07048,0,0.000676802,0.000676802,0.000676802
20,1974.68,0,0.03696,0,0,0,0,0,0,0.05383,0,0.000621791,0.000621791,0.000621791
21,2056.93,0,0.03138,0,0,0,0,0,0,0.04115,0,0.00056678,0.00056678,0.00056678
22,2139.95,0,0.02794,0,0,0,0,0,0,0.03409,0,0.000511769,0.000511769,0.000511769
23,2221.55,0,0.02125,0,0,0,0,0,0,0.09234,0,0.000456758,0.000456758,0.000456758
24,2527.63,0,0.01612,0,0,0,0,0,0,0.02432,0,0.000401747,0.000401747,0.000401747
25,2611.74,0,0.01339,0,0,0,0,0,0,0.02142,0,0.000346736,0.000346736,0.000346736
26,2694.06,0,0.01126,0,0,0,0,0,0,0.0186,0,0.000291725,0.000291725,0.000291725
27,2777.08,0,0.01036,0,0,0,0,0,0,0.53405,0,0.000236714,0.000236714,0.000236714
28,2863.75,0,0.0093,0,0,0,0,0,0,1.27369,0,0.000181703,0.000181703,0.000181703
29,2946.77,0,0.00851,0,0,0,0,0,0,0.07504,0,0.000126692,0.000126692,0.000126692
30,3028.8,0,0.00823,0,0,0,0,0,0,0.01433,0,7.1681e-05,7.1681e-05,7.1681e-05
